event_id,user_id,event_type,event_date,duration_seconds,device
101,u01,view,2026-09-01,30,mobile
102,u01,click,2026-09-01,5,web
103,u02,view,2026-09-02,,mobile
104,u02,click,2026-09-02,10,web
105,u03,VIEW,2026-09-03,45,MOBILE
105,u03,VIEW,2026-09-03,45,MOBILE
106,u03,click,2026-09-03,8,WEB
107,u04,purchase,2026-09-04,60,mobile
108,u04,VIEW,2026-09-04,20,Mobile
109,u05,click,2026-09-05,,web
110,u05,purchase,2026-09-05,90,WEB
111,u06,view,2026-09-06,35,MOBILE
112,u06,click,2026-09-06,12,Web
113,u07,VIEW,2026-09-07,25,mobile
114,u07,purchase,2026-09-07,,MOBILE
115,u08,click,2026-09-08,7,web
116,u08,view,2026-09-08,40,Mobile
117,u09,purchase,2026-09-09,75,web
118,u10,view,2026-09-09,15,MOBILE
119,u10,click,2026-09-10,6,WEB
